__metadata,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,QUANTITY,UNIT
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~1,1,JJ,01,01,01/01,1,1,JJ-F01,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~2,2,JJ,01,01,01/01,1,1,JJ-F02,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~3,3,JJ,01,01,01/01,1,1,JJ-F03,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~4,4,JJ,01,01,01/01,1,1,JJ-F04,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~5,5,JJ,01,01,01/01,1,1,JJ-F05,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~6,6,JJ,01,01,01/01,1,1,JJ-F06,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~7,7,JJ,01,01,01/01,1,1,JJ-F11,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~8,8,JJ,01,01,01/01,1,1,JJ-F12,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~9,9,JJ,01,01,01/01,1,1,JJ-F13,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~10,10,JJ,01,01,01/01,1,1,JJ-F14,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~11,11,JJ,01,02,01/02,1,2,JJ-F15,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~12,12,JJ,01,02,01/02,1,2,JJ-F16,40000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~13,13,JJ,03,01,03/01,9,41,JJ-F01,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~14,14,JJ,03,01,03/01,9,41,JJ-F02,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~15,15,JJ,03,01,03/01,9,41,JJ-F03,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~16,16,JJ,03,01,03/01,9,41,JJ-F04,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~17,17,JJ,03,01,03/01,9,41,JJ-F05,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~18,18,JJ,03,01,03/01,9,41,JJ-F06,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~19,19,JJ,03,01,03/01,9,41,JJ-F11,44000,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~20,20,JJ,03,01,03/01,9,41,JJ-F11,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Independent_Requirements('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Independent_Requirements'}",.1~21,21,JJ,03,01,03/01,9,41,JJ-F12,44000,ST
