__metadata,ID,ROW_ID,PLANT,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,CURRENT_INVENTORY,QUANTITY_SOLD,UNIT,NB_STEPS_AVAILABLE,SIM_ELAPSED_STEPS
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~1,1,JJ,02,JJ-F01,500g Nut Muesli,0,40000,ST,5,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~2,2,JJ,02N,JJ-F01,500g Nut Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~3,3,JJ,02S,JJ-F01,500g Nut Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~4,4,JJ,02W,JJ-F01,500g Nut Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~5,5,JJ,02,JJ-F02,500g Blueberry Muesli,0,40000,ST,3,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~6,6,JJ,02N,JJ-F02,500g Blueberry Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~7,7,JJ,02S,JJ-F02,500g Blueberry Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~8,8,JJ,02W,JJ-F02,500g Blueberry Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~9,9,JJ,02,JJ-F03,500g Strawberry Muesli,0,40000,ST,5,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~10,10,JJ,02N,JJ-F03,500g Strawberry Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~11,11,JJ,02S,JJ-F03,500g Strawberry Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~12,12,JJ,02W,JJ-F03,500g Strawberry Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~13,13,JJ,02,JJ-F04,500g Raisin Muesli,0,40000,ST,7,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~14,14,JJ,02N,JJ-F04,500g Raisin Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~15,15,JJ,02S,JJ-F04,500g Raisin Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~16,16,JJ,02W,JJ-F04,500g Raisin Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~17,17,JJ,02,JJ-F05,500g Original Muesli,0,40000,ST,8,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~18,18,JJ,02N,JJ-F05,500g Original Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~19,19,JJ,02S,JJ-F05,500g Original Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~20,20,JJ,02W,JJ-F05,500g Original Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~21,21,JJ,02,JJ-F06,500g Mixed Fruit Muesli,0,40000,ST,3,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~22')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~22')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~22,22,JJ,02N,JJ-F06,500g Mixed Fruit Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~23')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~23')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~23,23,JJ,02S,JJ-F06,500g Mixed Fruit Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~24')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~24')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~24,24,JJ,02W,JJ-F06,500g Mixed Fruit Muesli,0,0,ST,0,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~25')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~25')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~25,25,JJ,02,JJ-F11,1kg Nut Muesli,0,40000,ST,4,46
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~26')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~26')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~26,26,JJ,02N,JJ-F11,1kg Nut Muesli,0,0,ST,0,46
